sample_id,frequency_hz,frequency_mhz,amplitude_dbm,liquid_type,source_file,range,is_outlier,amplitude_denoised_dbm,amplitude_smoothed_dbm,amplitude_normalized,band
150-250_CSV0,195333333.0,195.333333,-51.54,Air,CSV0.csv,150-250,False,-51.54,-51.57689114089505,1.1988358841830893,180-220MHz
150-250_CSV0,195466667.0,195.466667,-51.49,Air,CSV0.csv,150-250,False,-51.49,-51.528937561293866,1.205178313302268,180-220MHz
150-250_CSV0,195600000.0,195.6,-51.45,Air,CSV0.csv,150-250,False,-51.45,-51.48751879699181,1.2106564356650726,180-220MHz
150-250_CSV0,195733333.0,195.733333,-51.42,Air,CSV0.csv,150-250,False,-51.42,-51.45683229813598,1.2147150887526525,180-220MHz
150-250_CSV0,195866667.0,195.866667,-51.44,Air,CSV0.csv,150-250,False,-51.44,-51.43622752533441,1.21744031410804,180-220MHz
150-250_CSV0,196000000.0,196.0,-51.42,Air,CSV0.csv,150-250,False,-51.42,-51.426351748936895,1.2187465025577664,180-220MHz
150-250_CSV0,196133333.0,196.133333,-51.45,Air,CSV0.csv,150-250,False,-51.45,-51.43269369074794,1.2179077056056091,180-220MHz
150-250_CSV0,196266667.0,196.266667,-51.52,Air,CSV0.csv,150-250,False,-51.52,-51.45613272311146,1.214807615839128,180-220MHz
150-250_CSV0,196400000.0,196.4,-51.51,Air,CSV0.csv,150-250,False,-51.51,-51.49772147760638,1.20930701025905,180-220MHz
150-250_CSV0,196533333.0,196.533333,-51.55,Air,CSV0.csv,150-250,False,-51.55,-51.557456685190566,1.2014063212349348,180-220MHz
150-250_CSV0,196666667.0,196.666667,-51.62,Air,CSV0.csv,150-250,False,-51.62,-51.63399150048968,1.1912836850267283,180-220MHz
150-250_CSV0,196800000.0,196.8,-51.67,Air,CSV0.csv,150-250,False,-51.67,-51.72027459954166,1.1798717227817497,180-220MHz
150-250_CSV0,196933333.0,196.933333,-51.78,Air,CSV0.csv,150-250,False,-51.78,-51.81754168028699,1.1670069988052005,180-220MHz
150-250_CSV0,197066667.0,197.066667,-51.89,Air,CSV0.csv,150-250,False,-51.89,-51.9286662307937,1.1523094602512276,180-220MHz
150-250_CSV0,197200000.0,197.2,-52.05,Air,CSV0.csv,150-250,False,-52.05,-52.05554429552073,1.1355283327733134,180-220MHz
150-250_CSV0,197333333.0,197.333333,-52.21,Air,CSV0.csv,150-250,False,-52.21,-52.19972866949916,1.1164582408290458,180-220MHz
150-250_CSV0,197466667.0,197.466667,-52.4,Air,CSV0.csv,150-250,False,-52.4,-52.350813991499805,1.0964754167373538,180-220MHz
150-250_CSV0,197600000.0,197.6,-52.54,Air,CSV0.csv,150-250,False,-52.54,-52.51790454396794,1.074375711265369,180-220MHz
150-250_CSV0,197733333.0,197.733333,-52.69,Air,CSV0.csv,150-250,False,-52.69,-52.699761359920856,1.0503229924774589,180-220MHz
150-250_CSV0,197866667.0,197.866667,-52.88,Air,CSV0.csv,150-250,False,-52.88,-52.886296175219975,1.0256515528449404,180-220MHz
150-250_CSV0,198000000.0,198.0,-53.05,Air,CSV0.csv,150-250,False,-53.05,-53.08727034978681,0.9990703368527944,180-220MHz
150-250_CSV0,198133333.0,198.133333,-53.25,Air,CSV0.csv,150-250,False,-53.25,-53.287760706112415,0.9725531115559651,180-220MHz
150-250_CSV0,198266667.0,198.266667,-53.5,Air,CSV0.csv,150-250,False,-53.5,-53.486132723111425,0.9463160617359411,180-220MHz
150-250_CSV0,198400000.0,198.4,-53.72,Air,CSV0.csv,150-250,False,-53.72,-53.69103955540957,0.9192147051595418,180-220MHz
150-250_CSV0,198533333.0,198.533333,-53.9,Air,CSV0.csv,150-250,False,-53.9,-53.896145799280106,0.8920869740398034,180-220MHz
150-250_CSV0,198666667.0,198.666667,-54.08,Air,CSV0.csv,150-250,False,-54.08,-54.09940830336641,0.8652030993535778,180-220MHz
150-250_CSV0,198800000.0,198.8,-54.35,Air,CSV0.csv,150-250,False,-54.35,-54.30316443282048,0.838253936863344,180-220MHz
150-250_CSV0,198933333.0,198.933333,-54.52,Air,CSV0.csv,150-250,False,-54.52,-54.510774762993734,0.8107950106583719,180-220MHz
150-250_CSV0,199066667.0,199.066667,-54.72,Air,CSV0.csv,150-250,False,-54.72,-54.71463550179726,0.7838320123421236,180-220MHz
150-250_CSV0,199200000.0,199.2,-54.95,Air,CSV0.csv,150-250,False,-54.95,-54.91184047074136,0.757749318456078,180-220MHz
150-250_CSV0,199333333.0,199.333333,-55.02,Air,CSV0.csv,150-250,False,-55.02,-55.09931023210128,0.732954221128551,180-220MHz
150-250_CSV0,199466667.0,199.466667,-55.27,Air,CSV0.csv,150-250,False,-55.27,-55.27763975155207,0.7093680290990839,180-220MHz
150-250_CSV0,199600000.0,199.6,-55.5,Air,CSV0.csv,150-250,False,-55.5,-55.455037593984244,0.6859050623950609,180-220MHz
150-250_CSV0,199733333.0,199.733333,-55.62,Air,CSV0.csv,150-250,False,-55.62,-55.627558025497805,0.6630871910789873,180-220MHz
150-250_CSV0,199866667.0,199.866667,-55.77,Air,CSV0.csv,150-250,False,-55.77,-55.789862700228106,0.6416204746471885,180-220MHz
150-250_CSV0,200000000.0,200.0,-55.97,Air,CSV0.csv,150-250,False,-55.97,-55.93896044458901,0.6219005312497803,180-220MHz
150-250_CSV0,200133333.0,200.133333,-56.12,Air,CSV0.csv,150-250,False,-56.12,-56.0841059169656,0.6027033226540007,180-220MHz
150-250_CSV0,200266667.0,200.266667,-56.22,Air,CSV0.csv,150-250,False,-56.22,-56.220539391957416,0.5846583789435316,180-220MHz
150-250_CSV0,200400000.0,200.4,-56.33,Air,CSV0.csv,150-250,False,-56.33,-56.350738803529836,0.56743796398964,180-220MHz
150-250_CSV0,200533333.0,200.533333,-56.44,Air,CSV0.csv,150-250,False,-56.44,-56.46930696305909,0.5517559199407904,180-220MHz
150-250_CSV0,200666667.0,200.666667,-56.61,Air,CSV0.csv,150-250,False,-56.61,-56.58542007191819,0.5363985854337295,180-220MHz
150-250_CSV0,200800000.0,200.8,-56.74,Air,CSV0.csv,150-250,False,-56.74,-56.68033344230067,0.523845167542516,180-220MHz
150-250_CSV0,200933333.0,200.933333,-56.74,Air,CSV0.csv,150-250,False,-56.74,-56.77161817587373,0.5117716798661972,180-220MHz
150-250_CSV0,201066667.0,201.066667,-56.81,Air,CSV0.csv,150-250,False,-56.81,-56.86003922850531,0.5000769479270388,180-220MHz
150-250_CSV0,201200000.0,201.2,-56.93,Air,CSV0.csv,150-250,False,-56.93,-56.932406015036854,0.49050558291161583,180-220MHz
150-250_CSV0,201333333.0,201.333333,-57.06,Air,CSV0.csv,150-250,False,-57.06,-57.001578947367676,0.48135664295921315,180-220MHz
150-250_CSV0,201466667.0,201.466667,-57.03,Air,CSV0.csv,150-250,False,-57.03,-57.06733246158801,0.4726599615696745,180-220MHz
150-250_CSV0,201600000.0,201.6,-57.15,Air,CSV0.csv,150-250,False,-57.15,-57.124292252369315,0.46512635430451904,180-220MHz
150-250_CSV0,201733333.0,201.733333,-57.14,Air,CSV0.csv,150-250,False,-57.14,-57.172262177181345,0.4587817633375264,180-220MHz
150-250_CSV0,201866667.0,201.866667,-57.22,Air,CSV0.csv,150-250,False,-57.22,-57.20792742726307,0.4540646114055451,180-220MHz
150-250_CSV0,202000000.0,202.0,-57.21,Air,CSV0.csv,150-250,False,-57.21,-57.23228506047654,0.45084302579187024,180-220MHz
150-250_CSV0,202133333.0,202.133333,-57.28,Air,CSV0.csv,150-250,False,-57.28,-57.252105263157155,0.4482215691315954,180-220MHz
150-250_CSV0,202266667.0,202.266667,-57.28,Air,CSV0.csv,150-250,False,-57.28,-57.268309905197036,0.4460783132079631,180-220MHz
150-250_CSV0,202400000.0,202.4,-57.27,Air,CSV0.csv,150-250,False,-57.27,-57.27691402419016,0.4449403165182324,180-220MHz
150-250_CSV0,202533333.0,202.533333,-57.35,Air,CSV0.csv,150-250,False,-57.35,-57.27580908793649,0.4450864574305153,180-220MHz
150-250_CSV0,202666667.0,202.666667,-57.27,Air,CSV0.csv,150-250,False,-57.27,-57.27124550506627,0.4456900453404186,180-220MHz
150-250_CSV0,202800000.0,202.8,-57.23,Air,CSV0.csv,150-250,False,-57.23,-57.26633213468379,0.4463398967935592,180-220MHz
150-250_CSV0,202933333.0,202.933333,-57.23,Air,CSV0.csv,150-250,False,-57.23,-57.25312520431439,0.4480866698279506,180-220MHz
150-250_CSV0,203066667.0,203.066667,-57.18,Air,CSV0.csv,150-250,False,-57.18,-57.23541680287601,0.4504288157505481,180-220MHz
150-250_CSV0,203200000.0,203.2,-57.18,Air,CSV0.csv,150-250,False,-57.18,-57.208009153317334,0.45405380216647145,180-220MHz
