,feature_name,range,frequency_mhz
1814,50-150__91.600000MHz,50-150,91.6
1815,50-150__91.733333MHz,50-150,91.733333
1816,50-150__91.866667MHz,50-150,91.866667
1817,50-150__92.000000MHz,50-150,92.0
1818,50-150__92.133333MHz,50-150,92.133333
1819,50-150__92.266667MHz,50-150,92.266667
1820,50-150__92.400000MHz,50-150,92.4
1821,50-150__92.533333MHz,50-150,92.533333
1822,50-150__92.666667MHz,50-150,92.666667
1823,50-150__92.800000MHz,50-150,92.8
1824,50-150__92.933333MHz,50-150,92.933333
1825,50-150__93.066667MHz,50-150,93.066667
1826,50-150__93.200000MHz,50-150,93.2
1827,50-150__93.333333MHz,50-150,93.333333
1828,50-150__93.466667MHz,50-150,93.466667
1829,50-150__93.600000MHz,50-150,93.6
1830,50-150__93.733333MHz,50-150,93.733333
1831,50-150__93.866667MHz,50-150,93.866667
1832,50-150__94.000000MHz,50-150,94.0
1833,50-150__94.133333MHz,50-150,94.133333
1834,50-150__94.266667MHz,50-150,94.266667
1835,50-150__94.400000MHz,50-150,94.4
1836,50-150__94.533333MHz,50-150,94.533333
1837,50-150__94.666667MHz,50-150,94.666667
1838,50-150__94.800000MHz,50-150,94.8
1839,50-150__94.933333MHz,50-150,94.933333
1840,50-150__95.066667MHz,50-150,95.066667
1841,50-150__95.200000MHz,50-150,95.2
1842,50-150__95.333333MHz,50-150,95.333333
1843,50-150__95.466667MHz,50-150,95.466667
1844,50-150__95.600000MHz,50-150,95.6
1845,50-150__95.733333MHz,50-150,95.733333
1846,50-150__95.866667MHz,50-150,95.866667
1847,50-150__96.000000MHz,50-150,96.0
1848,50-150__96.133333MHz,50-150,96.133333
1849,50-150__96.266667MHz,50-150,96.266667
1850,50-150__96.400000MHz,50-150,96.4
1851,50-150__96.533333MHz,50-150,96.533333
1852,50-150__96.666667MHz,50-150,96.666667
1853,50-150__96.800000MHz,50-150,96.8
1854,50-150__96.933333MHz,50-150,96.933333
1855,50-150__97.066667MHz,50-150,97.066667
1856,50-150__97.200000MHz,50-150,97.2
1857,50-150__97.333333MHz,50-150,97.333333
1858,50-150__97.466667MHz,50-150,97.466667
1859,50-150__97.600000MHz,50-150,97.6
1860,50-150__97.733333MHz,50-150,97.733333
1861,50-150__97.866667MHz,50-150,97.866667
1862,50-150__98.000000MHz,50-150,98.0
1863,50-150__98.133333MHz,50-150,98.133333
1864,50-150__98.266667MHz,50-150,98.266667
1865,50-150__98.400000MHz,50-150,98.4
1866,50-150__98.533333MHz,50-150,98.533333
1867,50-150__98.666667MHz,50-150,98.666667
1868,50-150__98.800000MHz,50-150,98.8
1869,50-150__98.933333MHz,50-150,98.933333
1870,50-150__99.066667MHz,50-150,99.066667
1871,50-150__99.200000MHz,50-150,99.2
1872,50-150__99.333333MHz,50-150,99.333333
1873,50-150__99.466667MHz,50-150,99.466667
